,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS
116,1629647,Darius Bazley,68,1695.6,24.94
78,1629646,Charles Bassey,23,211.9,9.21
346,1629645,Kevin Porter Jr.,53,1530.3,28.87
324,1629644,KZ Okpala,21,175.2,8.34
89,1629643,Chuma Okeke,62,1365.7,22.03
430,1629642,Nassir Little,42,917.2,21.84
489,1629641,Romeo Langford,45,463.5,10.3
330,1629640,Keldon Johnson,67,1880.2,28.06
564,1629639,Tyler Herro,59,1904.9,32.29
439,1629638,Nickeil Alexander-Walker,61,1234.8,20.24
266,1629637,Jaxson Hayes,61,1102.4,18.07
117,1629636,Darius Garland,59,2265.4,38.4
47,1629634,Brandon Clarke,58,1368.7,23.6
261,1629633,Jarrett Culver,33,253.7,7.69
91,1629632,Coby White,53,1183.1,22.32
127,1629631,De'Andre Hunter,46,983.9,21.39
232,1629630,Ja Morant,56,2559.7,45.71
64,1629629,Cam Reddish,49,824.0,16.82
472,1629628,RJ Barrett,63,1998.0,31.71
407,1629622,Max Strus,61,1027.9,16.85
320,1629620,Justin Robinson,25,164.2,6.57
528,1629611,Terance Mann,74,1707.3,23.07
59,1629604,CJ Elleby,49,654.0,13.35
18,1629599,Amir Coffey,62,1025.5,16.54
313,1629308,Juan Toscano-Anderson,69,784.1,11.36
163,1629234,Drew Eubanks,63,978.6,15.53
189,1629216,Gabe Vincent,62,1114.8,17.98
84,1629185,Chris Chiozza,33,204.3,6.19
48,1629164,Brandon Goodwin,30,403.0,13.43
299,1629162,Jordan McLaughlin,55,668.3,12.15
590,1629139,Yuta Watanabe,34,331.1,9.74
165,1629130,Duncan Robinson,71,1298.2,18.28
284,1629111,Jock Landale,47,467.3,9.94
193,1629109,Gary Clark,34,248.0,7.29
329,1629103,Kelan Martin,30,320.5,10.68
493,1629060,Rui Hachimura,33,576.0,17.45
484,1629057,Robert Williams III,60,1970.1,32.84
529,1629056,Terence Davis,30,558.8,18.63
451,1629052,Oshae Brissett,61,1108.4,18.17
202,1629048,Goga Bitadze,46,676.4,14.7
378,1629029,Luka Doncic,57,2976.5,52.22
135,1629028,Deandre Ayton,53,1809.5,34.14
546,1629027,Trae Young,68,3149.1,46.31
335,1629026,Kenrich Williams,49,905.0,18.47
455,1629023,P.J. Washington,57,1351.5,23.71
373,1629022,Lonnie Walker IV,65,1303.5,20.05
422,1629021,Moritz Wagner,55,821.4,14.93
259,1629020,Jarred Vanderbilt,67,1642.0,24.51
196,1629018,Gary Trent Jr.,62,1839.6,29.67
22,1629014,Anfernee Simons,57,1493.7,26.21
365,1629013,Landry Shamet,61,834.9,13.69
417,1629011,Mitchell Robinson,67,1749.5,26.11
309,1629006,Josh Okogie,44,289.9,6.59
522,1629004,Svi Mykhailiuk,53,473.9,8.94
511,1629003,Shake Milton,46,764.1,16.61
82,1629002,Chimezie Metu,52,1043.4,20.07
128,1629001,De'Anthony Melton,65,1570.2,24.16
92,1628998,Cody Martin,63,1305.1,20.72
63,1628997,Caleb Martin,56,1068.6,19.08
343,1628995,Kevin Knox II,26,134.8,5.18
16,1628993,Alize Johnson,23,130.7,5.68
258,1628991,Jaren Jackson Jr.,73,2404.0,32.93
342,1628989,Kevin Huerter,66,1440.9,21.83
2,1628988,Aaron Holiday,58,804.7,13.87
153,1628984,Devonte' Graham,68,1637.5,24.08
510,1628983,Shai Gilgeous-Alexander,56,2398.1,42.82
56,1628981,Bruno Fernando,28,122.6,4.38
159,1628978,Donte DiVincenzo,34,630.4,18.54
210,1628977,Hamidou Diallo,58,1283.9,22.14
580,1628976,Wendell Carter Jr.,61,2045.7,33.54
282,1628975,Jevon Carter,59,536.4,9.09
245,1628973,Jalen Brunson,71,2066.2,29.1
560,1628972,Troy Brown Jr.,61,646.8,10.6
55,1628971,Bruce Brown,64,1342.8,20.98
415,1628970,Miles Bridges,72,2729.9,37.92
412,1628969,Mikal Bridges,74,2002.8,27.06
328,1628966,Keita Bates-Diop,52,655.7,12.61
419,1628964,Mo Bamba,63,1707.8,27.11
400,1628963,Marvin Bagley III,45,1001.6,22.26
207,1628960,Grayson Allen,61,1220.5,20.01
545,1628470,Torrey Craig,70,1093.4,15.62
408,1628467,Maxi Kleber,55,1089.5,19.81
112,1628464,Daniel Theis,39,649.2,16.65
83,1628449,Chris Boucher,71,1521.6,21.43
124,1628432,Davon Reed,40,413.3,10.33
520,1628425,Sterling Brown,48,415.0,8.65
420,1628420,Monte Morris,68,1660.1,24.41
537,1628418,Thomas Bryant,23,390.9,17.0
156,1628415,Dillon Brooks,26,749.1,28.81
307,1628404,Josh Hart,54,1716.6,31.79
182,1628402,Frank Jackson,45,684.9,15.22
147,1628401,Derrick White,67,1915.4,28.59
507,1628400,Semi Ojeleye,30,230.3,7.68
358,1628398,Kyle Kuzma,66,2280.7,34.56
543,1628396,Tony Bradley,51,488.8,9.58
220,1628392,Isaiah Hartenstein,61,1301.9,21.34
34,1628389,Bam Adebayo,49,1992.0,40.65
260,1628386,Jarrett Allen,56,2027.4,36.2
446,1628384,OG Anunoby,43,1393.1,32.4
291,1628381,John Collins,54,1736.4,32.16
380,1628379,Luke Kennard,64,1265.2,19.77
158,1628378,Donovan Mitchell,61,2517.0,41.26
368,1628374,Lauri Markkanen,52,1374.4,26.43
184,1628373,Frank Ntilikina,54,496.6,9.2
141,1628372,Dennis Smith Jr.,37,629.6,17.02
389,1628370,Malik Monk,67,1552.4,23.17
274,1628369,Jayson Tatum,70,3150.6,45.01
126,1628368,De'Aaron Fox,59,2250.2,38.14
308,1628367,Josh Jackson,45,587.0,13.04
374,1628366,Lonzo Ball,35,1153.0,32.94
121,1628021,David Nwaba,45,577.8,12.84
13,1627936,Alex Caruso,35,806.1,23.03
144,1627884,Derrick Jones Jr.,46,606.5,13.18
115,1627863,Danuel House Jr.,36,429.1,11.92
57,1627854,Bryn Forbes,70,875.2,12.5
186,1627832,Fred VanVleet,59,2373.7,40.23
160,1627827,Dorian Finney-Smith,72,1662.6,23.09
230,1627826,Ivica Zubac,69,1763.6,25.56
314,1627823,Juancho Hernangomez,33,206.0,6.24
108,1627814,Damion Lee,57,826.4,14.5
540,1627789,Timothe Luwawu-Cabarrot,45,333.4,7.41
188,1627788,Furkan Korkmaz,61,955.2,15.66
457,1627783,Pascal Siakam,60,2552.4,42.54
195,1627780,Gary Payton II,63,1071.5,17.01
199,1627777,Georges Niang,69,1094.4,15.86
243,1627774,Jake Layman,31,138.4,4.46
385,1627763,Malcolm Brogdon,36,1282.0,35.61
130,1627761,DeAndre' Bembry,56,769.6,13.74
269,1627759,Jaylen Brown,59,2153.8,36.51
142,1627756,Denzel Valentine,24,147.9,6.16
527,1627752,Taurean Prince,63,874.9,13.89
244,1627751,Jakob Poeltl,61,2105.4,34.51
137,1627749,Dejounte Murray,64,3153.7,49.28
70,1627747,Caris LeVert,49,1465.3,29.9
106,1627745,Damian Jones,48,737.8,15.37
49,1627742,Brandon Ingram,50,1928.3,38.57
58,1627741,Buddy Hield,73,1925.8,26.38
399,1627737,Marquese Chriss,27,312.7,11.58
387,1627736,Malik Beasley,74,1416.4,19.14
157,1627734,Domantas Sabonis,62,2620.9,42.27
76,1626224,Cedi Osman,59,1088.9,18.46
490,1626220,Royce O'Neale,70,1498.8,21.41
327,1626208,Keifer Sykes,28,295.3,10.55
367,1626204,Larry Nance Jr.,38,757.1,19.92
310,1626196,Josh Richardson,56,1034.8,18.48
586,1626195,Willy Hernangomez,44,885.5,20.12
458,1626192,Pat Connaughton,57,1163.3,20.41
444,1626181,Norman Powell,43,1234.0,28.7
531,1626179,Terry Rozier,65,2267.5,34.88
88,1626174,Christian Wood,67,2479.5,37.01
347,1626172,Kevon Looney,74,1594.7,21.55
39,1626171,Bobby Portis,64,1980.0,30.94
518,1626169,Stanley Johnson,39,616.7,15.81
557,1626168,Trey Lyles,67,1298.4,19.38
428,1626167,Myles Turner,42,1346.4,32.06
69,1626166,Cameron Payne,52,1206.5,23.2
149,1626164,Devin Booker,63,2666.0,42.32
333,1626162,Kelly Oubre Jr.,68,1727.6,25.41
321,1626159,Justise Winslow,48,773.4,16.11
480,1626158,Richaun Holmes,45,1038.4,23.08
326,1626157,Karl-Anthony Towns,68,3080.5,45.3
99,1626156,D'Angelo Russell,60,2060.3,34.34
138,1626153,Delon Wright,69,1030.2,14.93
421,1626149,Montrezl Harrell,64,1686.2,26.35
570,1626145,Tyus Jones,67,1322.3,19.74
523,204456,T.J. McConnell,24,543.5,22.65
286,204060,Joe Ingles,45,757.2,16.83
355,204001,Kristaps Porzingis,44,1671.9,38.0
442,203999,Nikola Jokic,67,3840.0,57.31
322,203994,Jusuf Nurkic,56,1965.3,35.09
40,203992,Bogdan Bogdanovic,55,1476.7,26.85
90,203991,Clint Capela,66,2117.9,32.09
290,203954,Joel Embiid,60,3269.1,54.48
21,203952,Andrew Wiggins,66,1969.7,29.84
315,203944,Julius Randle,69,2791.2,40.45
167,203939,Dwight Powell,74,1315.5,17.78
356,203937,Kyle Anderson,61,1341.6,21.99
394,203935,Marcus Smart,63,1841.1,29.22
0,203932,Aaron Gordon,68,1818.8,26.75
161,203926,Doug McDermott,51,826.0,16.2
278,203924,Jerami Grant,47,1493.7,31.78
348,203920,Khem Birch,47,677.7,14.42
487,203918,Rodney Hood,48,341.3,7.11
517,203915,Spencer Dinwiddie,60,1706.9,28.45
194,203914,Gary Harris,61,1130.4,18.53
297,203903,Jordan Clarkson,71,1789.3,25.2
170,203901,Elfrid Payton,47,426.0,9.06
593,203897,Zach LaVine,60,2262.8,37.71
534,203648,Thanasis Antetokounmpo,43,309.9,7.21
488,203585,Rodney McGruder,46,454.3,9.88
509,203552,Seth Curry,58,1511.8,26.07
475,203526,Raul Neto,63,1061.7,16.85
201,203507,Giannis Antetokounmpo,60,3388.2,56.47
556,203504,Trey Burke,38,327.7,8.62
544,203503,Tony Snell,49,373.5,7.62
539,203501,Tim Hardaway Jr.,42,1021.2,24.31
521,203500,Steven Adams,70,1920.0,27.43
492,203497,Rudy Gobert,59,2421.8,41.05
483,203496,Robert Covington,64,1541.2,24.08
477,203493,Reggie Bullock,60,967.1,16.12
452,203490,Otto Porter Jr.,58,1245.6,21.48
414,203488,Mike Muscala,43,649.8,15.11
402,203486,Mason Plumlee,65,1583.0,24.35
337,203484,Kentavious Caldwell-Pope,70,1579.8,22.57
332,203482,Kelly Olynyk,35,721.8,20.62
205,203476,Gorgui Dieng,42,395.3,9.41
154,203473,Dewayne Dedmon,62,994.5,16.04
140,203471,Dennis Schroder,63,1573.4,24.97
93,203469,Cody Zeller,27,346.0,12.81
60,203468,CJ McCollum,53,2000.2,37.74
35,203463,Ben McLemore,55,749.9,13.63
14,203458,Alex Len,36,543.9,15.11
436,203457,Nerlens Noel,25,451.7,18.07
233,203210,JaMychal Green,61,928.8,15.23
318,203200,Justin Holiday,66,1250.3,18.94
336,203145,Kent Bazemore,37,336.5,9.09
584,203115,Will Barton,64,1794.5,28.04
349,203114,Khris Middleton,59,2134.2,36.17
162,203110,Draymond Green,39,1198.2,30.72
239,203109,Jae Crowder,62,1436.2,23.16
542,203107,Tomas Satoransky,46,487.3,10.59
179,203095,Evan Fournier,72,1646.3,22.87
406,203090,Maurice Harkless,47,513.9,10.93
280,203087,Jeremy Lamb,48,722.2,15.05
30,203085,Austin Rivers,59,716.8,12.15
211,203084,Harrison Barnes,69,1967.9,28.52
19,203083,Andre Drummond,64,1602.9,25.05
530,203082,Terrence Ross,60,1002.7,16.71
107,203081,Damian Lillard,29,1158.0,39.93
45,203078,Bradley Beal,40,1570.3,39.26
23,203076,Anthony Davis,37,1764.5,47.69
44,202954,Brad Wanamaker,23,228.3,9.93
123,202722,Davis Bertans,48,458.1,9.54
41,202711,Bojan Bogdanovic,64,1626.8,25.42
283,202710,Jimmy Butler,51,2121.2,41.59
97,202709,Cory Joseph,62,1127.6,18.19
478,202704,Reggie Jackson,70,2023.8,28.91
541,202699,Tobias Harris,64,2100.5,32.82
443,202696,Nikola Vucevic,65,2646.0,40.71
393,202694,Marcus Morris Sr.,49,1246.7,25.44
10,202692,Alec Burks,73,1771.0,24.26
353,202691,Klay Thompson,27,805.9,29.85
334,202689,Kemba Walker,37,811.7,21.94
36,202687,Bismack Biyombo,30,419.6,13.99
294,202685,Jonas Valanciunas,67,2513.8,37.52
559,202684,Tristan Thompson,48,706.3,14.71
174,202683,Enes Freedom,35,369.0,10.54
228,202397,Ish Smith,56,853.5,15.24
364,202362,Lance Stephenson,38,663.8,17.47
435,202357,Nemanja Bjelica,64,990.7,15.48
212,202355,Hassan Whiteside,60,1351.4,22.52
31,202340,Avery Bradley,58,729.5,12.58
175,202339,Eric Bledsoe,54,1237.9,22.92
169,202334,Ed Davis,27,138.2,5.12
462,202331,Paul George,26,1156.0,44.46
204,202330,Gordon Hayward,48,1421.7,29.62
133,202326,DeMarcus Cousins,40,828.0,20.7
143,202324,Derrick Favors,39,542.3,13.91
583,202083,Wesley Matthews,42,407.9,9.71
191,202066,Garrett Temple,56,732.5,13.08
461,201988,Patty Mills,72,1424.1,19.78
114,201980,Danny Green,53,735.1,13.87
459,201976,Patrick Beverley,53,1387.6,26.18
578,201961,Wayne Ellington,40,443.1,11.08
525,201959,Taj Gibson,47,632.9,13.47
312,201950,Jrue Holiday,60,2244.2,37.4
254,201949,James Johnson,57,868.9,15.24
132,201942,DeMar DeRozan,68,2921.9,42.97
519,201939,Stephen Curry,64,2756.0,43.06
481,201937,Ricky Rubio,34,1029.7,30.29
253,201935,James Harden,57,2767.0,48.54
37,201933,Blake Griffin,54,868.1,16.08
129,201599,DeAndre Jordan,42,570.4,13.58
197,201588,George Hill,46,728.2,15.83
440,201587,Nicolas Batum,54,1091.8,20.22
508,201586,Serge Ibaka,51,788.5,15.46
235,201580,JaVale McGee,68,1421.7,20.91
486,201577,Robin Lopez,29,426.0,14.69
100,201571,D.J. Augustin,46,457.4,9.94
176,201569,Eric Gordon,57,1162.6,20.4
113,201568,Danilo Gallinari,61,1251.6,20.52
344,201567,Kevin Love,65,1697.2,26.11
494,201566,Russell Westbrook,72,2724.0,37.83
145,201565,Derrick Rose,26,622.1,23.93
533,201152,Thaddeus Young,43,690.2,16.05
276,201145,Jeff Green,69,1183.6,17.15
413,201144,Mike Conley,65,1837.6,28.27
9,201143,Al Horford,64,1864.2,29.13
341,201142,Kevin Durant,46,2270.9,49.37
463,200794,Paul Millsap,32,343.3,10.73
454,200782,P.J. Tucker,66,1291.4,19.57
359,200768,Kyle Lowry,57,1798.6,31.55
474,200765,Rajon Rondo,35,542.0,15.49
491,200752,Rudy Gay,50,804.1,16.08
361,200746,LaMarcus Aldridge,45,1108.9,24.64
375,101150,Lou Williams,52,629.0,12.1
86,101108,Chris Paul,59,2389.6,40.5
555,2772,Trevor Ariza,22,241.7,10.99
20,2738,Andre Iguodala,26,464.7,17.87
166,2730,Dwight Howard,52,832.8,16.02
72,2546,Carmelo Anthony,64,1516.0,23.69
369,2544,LeBron James,54,2862.4,53.01
