,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
150,1630170,Devin Vassell,64,288,121,2,33,47,25
153,1628984,Devonte' Graham,68,218,113,7,71,50,20
154,203473,Dewayne Dedmon,61,306,53,11,280,21,90
156,1628415,Dillon Brooks,26,144,65,2,11,25,13
157,1627734,Domantas Sabonis,62,555,93,1,801,62,147
158,1628378,Donovan Mitchell,60,222,150,3,13,56,44
159,1628978,Donte DiVincenzo,34,117,68,1,20,25,10
160,1627827,Dorian Finney-Smith,71,521,148,0,99,62,71
161,203926,Doug McDermott,51,209,17,0,20,15,35
162,203110,Draymond Green,38,327,93,7,245,36,79
163,1629234,Drew Eubanks,62,298,46,5,405,19,86
164,1630613,Duane Washington Jr.,42,138,32,0,16,5,9
165,1629130,Duncan Robinson,70,363,56,9,74,36,47
166,2730,Dwight Howard,52,234,64,0,224,15,79
167,203939,Dwight Powell,73,551,79,10,583,27,161
168,1629685,Dylan Windler,43,66,23,1,8,12,2
169,202334,Ed Davis,27,48,6,0,42,4,25
170,203901,Elfrid Payton,47,93,40,0,27,13,7
171,1630190,Elijah Hughes,28,41,10,3,3,2,3
174,202683,Enes Freedom,35,130,8,0,172,4,50
175,202339,Eric Bledsoe,54,210,100,5,58,37,24
176,201569,Eric Gordon,56,141,54,1,48,27,24
177,1629672,Eric Paschall,52,135,18,0,61,16,27
179,203095,Evan Fournier,71,275,120,1,22,53,30
180,1630596,Evan Mobley,65,803,103,0,345,59,116
181,1630267,Facundo Campazzo,63,146,126,8,18,33,10
182,1628402,Frank Jackson,44,169,47,1,6,13,9
184,1628373,Frank Ntilikina,53,133,36,3,11,12,19
185,1630532,Franz Wagner,74,435,143,2,50,57,34
186,1627832,Fred VanVleet,59,303,227,1,72,64,39
188,1627788,Furkan Korkmaz,60,182,73,2,21,34,13
189,1629216,Gabe Vincent,62,300,111,8,68,37,37
191,202066,Garrett Temple,56,210,90,1,26,30,22
192,1629726,Garrison Mathews,56,217,79,24,21,21,30
193,1629109,Gary Clark,34,57,20,0,15,7,20
194,203914,Gary Harris,61,172,107,1,12,39,19
195,1627780,Gary Payton II,62,172,157,0,78,30,26
196,1629018,Gary Trent Jr.,62,182,221,1,17,58,12
197,201588,George Hill,46,222,50,3,30,34,33
199,1627777,Georges Niang,68,348,47,3,103,29,47
201,203507,Giannis Antetokounmpo,60,567,102,1,322,58,94
202,1629048,Goga Bitadze,46,238,37,1,152,21,62
204,202330,Gordon Hayward,48,259,65,1,75,40,29
205,203476,Gorgui Dieng,42,142,34,2,93,4,36
206,1629684,Grant Williams,69,487,72,6,146,31,97
207,1628960,Grayson Allen,61,337,89,3,34,41,30
208,1630535,Greg Brown III,39,134,21,3,47,10,13
210,1628977,Hamidou Diallo,58,211,125,0,27,48,21
211,203084,Harrison Barnes,69,466,65,1,101,43,66
212,202355,Hassan Whiteside,60,499,37,2,449,27,86
215,1630529,Herbert Jones,70,470,214,7,61,56,66
216,1629649,Ignas Brazdeikis,35,62,10,0,7,9,6
217,1630193,Immanuel Quickley,69,297,73,1,30,35,24
219,1630171,Isaac Okoro,58,274,79,5,31,39,30
220,1628392,Isaiah Hartenstein,60,528,64,5,303,16,86
221,1630543,Isaiah Jackson,31,183,27,0,117,8,33
222,1630198,Isaiah Joe,50,82,22,3,7,12,10
224,1629676,Isaiah Roby,36,231,63,1,146,18,45
225,1630191,Isaiah Stewart,62,737,41,0,442,21,140
228,202397,Ish Smith,55,94,50,3,29,32,10
229,1630688,Ish Wainright,41,54,18,3,24,10,18
230,1627826,Ivica Zubac,68,744,51,1,642,27,177
231,1630550,JT Thor,29,94,14,0,7,3,5
232,1629630,Ja Morant,56,193,114,1,41,61,9
233,203210,JaMychal Green,61,246,75,6,198,11,88
235,201580,JaVale McGee,68,408,31,0,336,23,94
237,1630183,Jaden McDaniels,67,501,109,1,47,51,49
239,203109,Jae Crowder,62,383,139,2,143,38,59
240,1630256,Jae'Sean Tate,69,395,104,16,139,60,110
243,1627774,Jake Layman,30,42,5,0,0,4,8
244,1627751,Jakob Poeltl,61,871,106,2,762,38,142
245,1628973,Jalen Brunson,70,252,71,17,54,43,36
246,1630224,Jalen Green,58,255,80,1,18,37,2
248,1629667,Jalen McDaniels,46,229,45,1,26,11,32
249,1630188,Jalen Smith,45,260,14,0,164,12,58
250,1630591,Jalen Suggs,46,224,115,8,34,32,11
251,1630547,James Bouknight,28,39,13,0,0,11,7
253,201935,James Harden,56,271,129,2,60,46,49
254,201949,James Johnson,57,279,57,1,106,17,41
256,1630215,Jared Butler,37,48,19,0,4,1,3
258,1628991,Jaren Jackson Jr.,73,720,127,0,140,61,94
259,1629020,Jarred Vanderbilt,66,380,182,1,181,60,44
260,1628386,Jarrett Allen,56,660,77,0,430,51,135
261,1629633,Jarrett Culver,33,43,37,0,2,9,3
264,1629750,Javonte Green,56,249,118,3,70,45,41
266,1629637,Jaxson Hayes,61,364,68,0,150,25,56
269,1627759,Jaylen Brown,59,325,106,2,19,55,52
272,1629669,Jaylen Nowell,55,113,40,1,10,12,10
274,1628369,Jayson Tatum,70,369,107,0,80,63,24
276,201145,Jeff Green,69,445,39,10,131,15,47
278,203924,Jerami Grant,46,264,77,5,52,12,53
279,1630526,Jeremiah Robinson-Earl,44,324,35,5,211,30,77
280,203087,Jeremy Lamb,48,116,52,0,16,13,5
281,1630579,Jericho Sims,32,103,9,0,106,7,64
282,1628975,Jevon Carter,59,114,63,0,24,27,7
283,202710,Jimmy Butler,50,182,136,5,89,54,61
284,1629111,Jock Landale,47,187,15,0,107,7,66
286,204060,Joe Ingles,45,119,46,0,38,13,24
288,1630580,Joe Wieskamp,23,23,7,0,0,3,2
290,203954,Joel Embiid,59,551,97,1,450,63,158
291,1628381,John Collins,54,533,58,14,282,26,96
292,1629723,John Konchar,64,227,88,2,11,44,24
294,202685,Jonas Valanciunas,67,656,59,0,593,43,243
295,1630228,Jonathan Kuminga,61,295,46,1,99,23,37
297,203903,Jordan Clarkson,70,278,87,0,29,49,26
299,1629162,Jordan McLaughlin,54,138,99,2,31,18,10
300,1629670,Jordan Nwora,57,207,48,0,16,23,9
