,PLAYER,GP,PER
28,Carmelo Anthony,64,15.22
29,Dillon Brooks,26,15.16
30,Enes Freedom,35,15.14
31,Jae'Sean Tate,70,15.11
33,Rui Hachimura,33,15.10
34,Mason Plumlee,65,15.06
35,Jonathan Kuminga,62,15.06
36,Patrick Beverley,53,15.05
37,Bogdan Bogdanovic,55,15.05
38,Jordan Clarkson,71,15.04
39,Kelly Oubre Jr.,68,15.04
40,Marquese Chriss,27,15.03
42,Derrick White,67,15.01
44,Aaron Gordon,68,14.97
45,Kenyon Martin Jr.,71,14.91
46,Monte Morris,68,14.89
48,Keldon Johnson,67,14.79
49,De'Anthony Melton,65,14.77
50,Franz Wagner,74,14.76
52,Terence Davis,30,14.74
53,Russell Westbrook,72,14.72
0,Kyle Lowry,57,14.71
1,Tristan Thompson,48,14.70
2,Lauri Markkanen,52,14.67
4,Gary Trent Jr.,62,14.64
5,Mikal Bridges,74,14.64
7,Robin Lopez,29,14.61
8,OG Anunoby,43,14.60
9,Serge Ibaka,51,14.58
11,Larry Nance Jr.,38,14.57
12,Lonzo Ball,35,14.54
13,Tony Bradley,51,14.46
16,Danilo Gallinari,61,14.38
17,Kyle Anderson,61,14.37
18,Zeke Nnaji,40,14.35
19,Bruce Brown,64,14.32
20,Draymond Green,39,14.29
22,JaMychal Green,61,14.26
23,Saddiq Bey,74,14.23
25,Marcus Morris Sr.,49,14.21
26,Kemba Walker,37,14.20
27,Tre Jones,60,14.20
28,Payton Pritchard,63,14.14
29,Ricky Rubio,34,14.12
30,Cameron Payne,52,14.12
31,Malik Monk,67,14.09
33,Immanuel Quickley,70,14.09
34,Marcus Smart,63,14.07
35,Eric Paschall,53,14.06
36,Cole Anthony,60,13.99
37,RJ Barrett,63,13.99
38,Javonte Green,56,13.97
39,Blake Griffin,54,13.93
40,Delon Wright,69,13.92
41,Pat Connaughton,57,13.91
44,Seth Curry,58,13.91
45,Chimezie Metu,52,13.86
47,Isaiah Stewart,63,13.82
48,Bones Hyland,61,13.81
49,Khem Birch,47,13.80
50,Alec Burks,73,13.78
51,Sandro Mamukelashvili,36,13.74
52,Coby White,53,13.74
0,Nemanja Bjelica,64,13.74
1,Nassir Little,42,13.74
4,Derrick Favors,39,13.70
5,Lance Stephenson,38,13.66
6,Will Barton,64,13.62
7,John Konchar,64,13.62
8,Saben Lee,34,13.60
9,Justin Champagnie,35,13.59
11,Terance Mann,74,13.53
13,Josh Giddey,54,13.49
14,Kenrich Williams,49,13.47
16,P.J. Washington,57,13.43
17,Nicolas Batum,54,13.42
18,Dennis Smith Jr.,37,13.42
19,Jeremy Lamb,48,13.39
22,Brandon Goodwin,30,13.34
23,Aaron Holiday,58,13.30
26,Justise Winslow,48,13.28
27,Dennis Schroder,63,13.20
28,Cade Cunningham,58,13.16
29,Devin Vassell,64,13.13
30,Jordan McLaughlin,55,13.12
31,Andre Iguodala,26,13.09
33,Cam Reddish,49,13.06
34,Grayson Allen,61,13.02
36,Tim Hardaway Jr.,42,13.00
37,Alex Len,36,12.99
38,Cedi Osman,59,12.98
39,Taurean Prince,63,12.96
40,Luke Kennard,64,12.88
41,Buddy Hield,73,12.88
42,Derrick Jones Jr.,46,12.87
45,Lou Williams,52,12.79
46,Eric Bledsoe,54,12.78
47,Darius Bazley,68,12.76
48,Skylar Mays,25,12.75
51,Reggie Jackson,70,12.65
52,Jeff Green,69,12.64
53,Evan Fournier,72,12.62
0,Raul Neto,63,12.60
1,Herbert Jones,70,12.59
2,Precious Achiuwa,64,12.58
3,Daniel Theis,39,12.55
5,Malachi Flynn,40,12.55
6,Cody Martin,63,12.55
8,Max Strus,61,12.48
9,Rudy Gay,50,12.47
11,Devonte' Graham,68,12.47
12,Luguentz Dort,51,12.46
13,Chris Duarte,55,12.46
14,Chuma Okeke,62,12.41
15,Davon Reed,40,12.41
18,Eric Gordon,57,12.37
19,Josh Richardson,56,12.35
22,Lonnie Walker IV,65,12.30
23,Oshae Brissett,61,12.30
24,Keita Bates-Diop,52,12.30
26,Alex Caruso,35,12.24
29,Amir Coffey,62,12.19
30,Naji Marshall,46,12.18
31,Cam Thomas,61,12.16
33,Josh Green,59,12.15
34,Jared Butler,37,12.14
35,Dorian Finney-Smith,72,12.10
36,Ish Smith,56,12.09
37,Kentavious Caldwell-Pope,70,12.08
38,Kevin Porter Jr.,53,12.06
40,Taj Gibson,47,12.00
41,Josh Christopher,66,12.00
42,DeAndre' Bembry,56,11.98
45,Malik Beasley,74,11.92
46,Nerlens Noel,25,11.92
47,Grant Williams,69,11.82
48,Aleksej Pokusevski,57,11.78
51,Robert Covington,64,11.71
53,Deni Avdija,73,11.66
0,Bryn Forbes,70,11.60
1,Trey Murphy III,53,11.59
2,Cory Joseph,62,11.59
3,Jalen McDaniels,47,11.56
4,Doug McDermott,51,11.56
5,Jalen Green,59,11.52
6,Yuta Watanabe,34,11.52
7,Ty Jerome,48,11.48
8,Jae Crowder,62,11.44
9,Juan Toscano-Anderson,69,11.41
11,Paul Millsap,32,11.40
12,P.J. Tucker,66,11.39
13,Kevin Huerter,66,11.39
14,Matisse Thybulle,58,11.39
15,Maxi Kleber,55,11.39
16,Garrison Mathews,57,11.37
19,Thanasis Antetokounmpo,43,11.34
20,Royce O'Neale,70,11.30
22,Facundo Campazzo,63,11.28
23,Damion Lee,57,11.27
24,Stanley Johnson,39,11.25
26,Shake Milton,46,11.18
27,Torrey Craig,70,11.18
29,Ayo Dosunmu,68,11.17
30,Danuel House Jr.,36,11.16
31,Lamar Stevens,54,11.15
33,Brandon Boston Jr.,50,11.13
34,Jericho Sims,33,11.12
35,Quentin Grimes,45,11.11
36,De'Andre Hunter,46,11.08
37,Greg Brown III,40,11.07
38,Patty Mills,72,11.07
39,Rodney McGruder,46,11.02
40,Georges Niang,69,10.99
41,Gary Harris,61,10.98
45,Gabe Vincent,62,10.85
46,Jeremiah Robinson-Earl,44,10.84
48,Corey Kispert,68,10.83
49,Furkan Korkmaz,61,10.82
50,George Hill,46,10.80
51,D.J. Augustin,46,10.80
52,Alize Johnson,23,10.75
53,Ben McLemore,55,10.74
0,Gary Clark,34,10.74
1,James Bouknight,28,10.72
2,Austin Reaves,54,10.70
3,Duncan Robinson,71,10.68
5,KZ Okpala,21,10.63
7,Trent Forrest,57,10.62
